Song Name,Blues,Classical,Country,Electronic,Hip-Hop,Jazz,Metal,Pop,Reggae,Rock
You Broke Up with Me _by_ Walker Hayes,1.6138225,-5.21796,11.300688,0.9283728,5.6468678,1.6115011,0.38254803,3.3938093,1.1862925,-0.52143735
You Make It Easy _by_ Jason Aldean,2.2898633,-5.9253545,10.851411,1.9419458,1.5872753,-0.50698954,3.246903,1.2017854,0.8276165,4.007642
You Proof _by_ Morgan Wallen,-3.6262507,-7.740048,10.905225,8.667572,9.012324,-9.578234,8.813519,17.890142,7.644849,-1.4763094
You're the Only Reason _by_ Gabby Barrett,1.1035482,-2.47544,9.427134,1.9724035,2.7294304,1.2430643,0.58416015,2.9309218,0.76736736,0.65914196
(I'm Your) Hoochie Coochie Man _by_ Muddy Waters,10.356215,-2.0430622,-1.4093187,0.5565676,-0.19790167,0.5469555,-4.984257,2.7071152,1.7866938,1.7009863
32-20 Blues _by_ Robert Johnson,9.02203,0.65833783,0.3534249,4.0418,2.5854495,4.1238976,2.1155727,-4.08849,-0.932009,-0.18472724
A Kiss To Build A Dream On - Single Version _by_ Louis Armstrong,5.8618703,-1.5415365,0.35261482,-1.7973932,-2.3536894,14.918327,-4.786293,-1.9265558,1.8653336,-0.12936847
Ain't No Sunshine _by_ Freddie King,11.256166,-0.3884386,-1.2096555,-2.654341,1.9135072,5.861433,-8.129878,-2.0454726,-1.1192598,1.8960912
Ain't Nobody's Business _by_ Otis Spann,9.727212,-0.4252402,0.32397383,-3.1694484,3.5710335,6.64086,-4.0323796,-2.7709925,-0.271986,-3.5233176
Autumn In New York _by_ Ella Fitzgerald,9.755521,2.9383159,-0.18045281,-0.94869477,0.1643045,11.627959,-6.319959,-5.0305743,0.4927002,-1.2770337
Back Door Man _by_ Howlin' Wolf,7.5742354,-1.0014616,2.4078598,-4.8478885,-1.5332037,0.78790253,-0.050070003,-6.593149,0.027909389,6.9945006
Back Door Man _by_ Willie Dixon,11.918879,-3.9345493,1.7447441,-0.4851492,-0.53386503,1.130443,-3.1935754,-1.9752957,3.1676962,3.8382301
Big Legged Woman _by_ Freddie King,7.602582,-1.3518065,2.564662,-1.040173,-0.42218697,3.5469055,-3.3005369,-1.8234656,-1.8509299,3.0486162
Bird in a Cage _by_ Otis Spann,8.108013,-0.9507328,4.873577,-2.8230484,-2.5163774,2.8591454,-3.9995823,-2.0749655,1.7421596,3.4709656
Blue Because Of You _by_ Willie Dixon,8.157573,2.4071224,-0.14271781,2.8692539,0.47620368,6.4847145,-0.7230855,-0.79008216,-2.3008091,-0.133323
Boogie Chillen _by_ John Lee Hooker,8.9341,1.4481689,-0.0398514,-1.9106492,-0.17344221,7.7382827,-4.3423877,-5.9021897,-0.38478208,1.8921617
Boom Boom _by_ John Lee Hooker,9.139371,-0.57246983,2.5621932,-4.0385356,-4.490408,-1.322255,2.7500777,-5.515101,0.48026425,5.4413314
Booze and Blues _by_ Ma Rainey,7.779165,1.5591702,-0.88324624,2.1005018,2.5572205,4.7629466,-1.4989607,-1.1406492,-0.0050158883,-3.3438933
Cheek To Cheek _by_ Ella Fitzgerald,6.39987,-1.3993655,-0.23835716,0.8027095,1.5378156,9.788912,-6.088142,-1.7168308,0.07973116,0.8382526
Chill Out (Things Gonna Change) _by_ John Lee Hooker,6.7898917,-2.0803638,1.5943979,-0.30055732,0.20137727,0.4438364,0.13698278,-2.141009,-0.24049516,3.0704138
Christmas Morning Blues - Remastered _by_ Sonny Boy Williamson I,7.180875,1.8157021,-0.0426904,4.0727625,1.5854867,4.174544,-0.7680554,-0.4688762,-3.0261588,-0.4463778
Come On In My Kitchen - Take 2 _by_ Robert Johnson,10.760198,0.46213838,-4.833621,2.531439,1.5075288,9.191733,-3.0573788,-5.807851,0.79485303,0.19487013
Come On In My Kitchen _by_ Robert Johnson,11.342776,4.4804454,-1.6594253,1.5724005,1.0770884,11.616739,-1.108773,-5.309871,-0.6212486,-0.7962151
Cross Road Blues - Take 1 _by_ Robert Johnson,7.1980643,0.04159889,-0.60113096,2.961988,1.6107033,3.7790828,-1.9927311,-2.4706473,0.49458984,1.559139
Cross Road Blues _by_ Robert Johnson,8.526794,2.3836653,-2.2342434,0.12637436,1.7633758,6.694928,-0.8539324,-5.506691,0.2071334,1.7739705
Dead Drunk Blues _by_ Ma Rainey,8.664849,1.5923976,-1.694463,1.3787252,0.082490206,7.247225,-4.9691534,-3.5288363,0.70687133,-0.8251062
Dimples _by_ John Lee Hooker,5.381421,-0.5169755,-1.4570735,-1.799315,1.6073484,2.0745344,-1.8279414,-1.5004343,-0.2956662,2.3699443
Dream A Little Dream Of Me _by_ Louis Armstrong,7.974679,0.16756663,3.259033,-3.8005946,-1.4064417,9.98368,-6.5895615,-4.834823,0.205054,0.9818347
Go Easy _by_ Willie Dixon,10.200419,0.27364048,0.91651404,-4.7442365,-0.6573416,4.364991,-0.96582836,-6.17528,-1.6467812,3.532455
Going Down _by_ Freddie King,9.556619,-0.909906,4.084486,-4.361399,-5.160359,0.7757849,3.1528926,-7.229477,-1.6271161,6.7779894
Good For Nothing Blues _by_ Sonny Boy Williamson I,8.667843,1.4831402,-4.352884,4.86497,2.3882542,5.0748606,0.02424124,-0.42202327,-1.3227961,-1.5329503
Good Morning Little School Girl _by_ Muddy Waters,12.323009,2.0980275,-3.2249224,1.3149502,1.2475904,8.365821,-7.011258,3.8125098,-0.16942234,0.87159854
Good Morning Mr. Blues _by_ Otis Spann,12.83274,1.5304428,-4.130324,6.782791,1.2661052,9.450239,-2.6702776,-2.421513,3.4577165,-1.7128426
Good Morning School Girl - 1996 Remastered _by_ Sonny Boy Williamson I,9.092049,3.149777,-4.3013473,2.574184,3.4566994,6.9811916,1.6537502,-3.842411,-0.4496351,-1.2021177
